nama,harga,tipe_review,kata_kunci
PAGUI打鬼,157350.0,Very Positive,"Action,Adventure,RPG,Indie,Horror,Casual,Third Person"
Automobilista 2 - Formula HiTech,29850.0,Positive,"Action,Indie,Simulation,Racing,Sports"
SCUM Male Hair Pack,70350.0,Positive,"Action,Adventure,Massively Multiplayer,Indie,Violent"
"MONSTER HUNTER RISE - ""Canyne Mask"" Hunter layered armor piece",22350.0,Positive,"Action,Action RPG,JRPG,RPG,Co-op"
Conan Exiles - The Imperial East Pack,71370.0,Mostly Positive,"Action,Adventure,RPG,Massively Multiplayer,Strategy,Nudity,Gore,Violent"
Conan Exiles - Blood and Sand Pack,82350.0,Mixed,"Strategy,Action,Adventure,Massively Multiplayer,Simulation,RPG,Gore,Violent,Nudity"
Warhammer: Vermintide 2 - Sister of the Thorn Cosmetic Upgrade,86400.0,Mixed,"Action,Indie,Gore,Violent"
Fight Songs: The Music Of Team Fortress 2,84370.0,Overwhelmingly Positive,"Action,Free to Play,Great Soundtrack,Soundtrack,Music,FPS"
Skelethrone: The Chronicles of Ericona,104850.0,Very Positive,"Metroidvania,Souls-like,Dark Fantasy,Side Scroller,Pixel Graphics,Difficult,Action,RPG,Singleplayer,2D,Gothic,Platformer,Adventure,Horror,Lore-Rich,Blood,Violent,Gore,Nudity"
Conan Exiles - Seekers of the Dawn Pack,71370.0,Mixed,"Strategy,Action,Adventure,RPG,Simulation,Massively Multiplayer,Nudity,Gore,Violent"
PO'ed: Definitive Edition,122849.99999999999,Very Positive,"Action,Boomer Shooter,First-Person,1990's,Singleplayer,Shooter,Aliens,Gore,Violent,FPS,Space,Comedy"
Space Reign,122849.99999999999,Very Positive,"Space Sim,Real Time Tactics,Action,Space,Indie,Sci-fi,Strategy,RTS,Action RTS,3D,First-Person,Realistic,Third Person,Atmospheric,War,Tactical,Combat,Stealth,Vehicular Combat,Singleplayer"
Minecraft Dungeons Hidden Depths,52350.0,Mixed,"Action,Adventure,RPG,Dungeon Crawler,Voxel,Arcade,Exploration,Action-Adventure,Action RPG,Colorful,Cute,Top-Down,Family Friendly,Isometric,Hack and Slash,Atmospheric"
American Theft 80s,122849.99999999999,Mostly Positive,"Action,Stealth,Adventure,Heist,Action-Adventure,1980s,3D,Third Person,Immersive Sim,Crime,Parkour,Conversation,Driving,Open World,Singleplayer,Minigames,Nostalgia,Simulation,Sandbox,Indie"
SNK VS. CAPCOM: THE MATCH OF THE MILLENNIUM,67350.0,Very Positive,"Action,Casual,2D Fighter,2D,Cute,Anime,Pixel Graphics,1990's,Multiplayer,Singleplayer,Fighting"
Resident Evil 4 Weapon Exclusive Upgrade Ticket x3 (A),104850.0,Positive,"Action,Adventure,Gore,Violent"
Sift Heads - Cartels 4,224850.0,Positive,"Adventure,Action,Point & Click,Shooter,Exploration,Shoot 'Em Up,Dark,2D,Character Customization,Violent,Combat,Singleplayer"
Dying Light - Shu Warrior Bundle,44850.0,Very Positive,"Action,RPG,Gore,Violent,Zombies"
GUILTY GEAR,82350.0,Very Positive,"Action,Fighting,Classic,2D Fighter,Anime,Singleplayer,Local Multiplayer,Controller,Great Soundtrack,eSports,Arcade,Retro,Pixel Graphics"
Superfighters Deluxe,71370.0,Very Positive,"Action,Pixel Graphics,Multiplayer,Indie,2D,Violent,Gore,Funny,Platformer,Local Multiplayer,Online Co-Op,Level Editor,Physics,Beat 'em up,Local Co-Op,Great Soundtrack,Arcade,Shooter,Co-op,Co-op Campaign"
Ultimate Epic Battle Simulator,90870.0,Mostly Positive,"Simulation,Sandbox,War,Strategy,Action,Funny,Medieval,Violent,Singleplayer,Gore,Indie,Early Access,Fantasy,Zombies,Open World,Adventure,Survival,Memes,Third Person,Atmospheric"
Deus Ex: Game of the Year Edition,44910.0,Very Positive,"Cyberpunk,RPG,Stealth,Classic,Immersive Sim,FPS,Sci-fi,Cult Classic,Action,Singleplayer,Dystopian ,Story Rich,Great Soundtrack,Inventory Management,First-Person,Conspiracy,Atmospheric,Moddable,Action RPG,Shooter"
Bastion,62910.0,Overwhelmingly Positive,"Great Soundtrack,Indie,Action,Singleplayer,Narration,RPG,Hack and Slash,Story Rich,Dynamic Narration,Isometric,Adventure,Action RPG,Fantasy,Atmospheric,Colorful,Post-apocalyptic,2D,Music,Twin Stick Shooter,Controller"
Bloody Good Time,33210.0,Mostly Positive,"Action,Multiplayer,FPS,Comedy,Funny,First-Person,Shooter,Gore,Blood,Singleplayer"
HELLGATE: London,84370.0,Mixed,"RPG,Action,Demons,Loot,Action RPG,Third-Person Shooter,Zombies,Gore,Violent,Hack and Slash,Singleplayer,First-Person,Post-apocalyptic,FPS,Atmospheric,Multiplayer,Sci-fi,Third Person,Looter Shooter"
SUSHI SOUL UNIVERSE,52350.0,Very Positive,"Action,Casual,Action-Adventure,3D Platformer,Collectathon,3D,Third Person,Comedy,Funny,Space,Indie,Surreal,Controller,Story Rich,Singleplayer"
DEEMO -Reborn- Taiko no Tatsujin Collaboration Collection,22350.0,Positive,"Adventure,Action,Rhythm,Music,Puzzle,RPG,Beautiful"
STAR WARS™ SHADOWS OF THE EMPIRE™,77870.0,Mostly Positive,"Adventure,Action,Space,Classic,Third-Person Shooter,Singleplayer,Sci-fi,1990's,Shooter,Great Soundtrack"
Zero Caliber VR,127350.0,Mostly Positive,"Military,Singleplayer,Co-op,VR,Action,FPS,Shooter,Simulation,Gun Customization,First-Person,Character Customization,PvE,Mature,Violent,War,Online Co-Op,Multiplayer,Gore,Realistic,Co-op Campaign"
World War Z: Aftermath - Raven Weapons Skin Pack,59850.0,Positive,"Action,Gore,Violent"
EZ2ON REBOOT : R - HARDCORE TANO*C Music Pack Vol.1,134850.0,Very Positive,"Action,Casual,Sports,Rhythm,Music,Soundtrack,Singleplayer,Difficult,Early Access,Anime,Arcade,Competitive,Cute,Electronic Music,Modern,Colorful,Music-Based Procedural Generation,Cartoon,Sci-fi,PvP"
Sipho,116850.0,Very Positive,"Action Roguelike,Action,Indie,Simulation,Strategy,Sandbox,Building,Underwater,Roguelite,Survival,Physics,Dark Fantasy,Nature,Perma Death,Real-Time with Pause,Level Editor,Atmospheric,Singleplayer,Sci-fi,Early Access"
Tomb Raider III (1998),44910.0,Very Positive,"Adventure,Action,Female Protagonist,Classic,Puzzle,Third Person,Action-Adventure,Singleplayer,Third-Person Shooter,Platformer,Shooter,Difficult,1990's,Atmospheric,Old School,Exploration,Retro"
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,157350.0,Mixed,"Action,Casual,Arcade,Beat 'em up,2D Fighter,Side Scroller,Cartoon,Cartoony,Colorful,Combat,Co-op,Local Co-Op,Local Multiplayer,Multiplayer,Singleplayer,Ninja"
FOR HONOR™ - Black Prior Hero Skin,179850.0,Positive,"Action,Gore,Violent"
Delta Force: Task Force Dagger,49410.0,Mostly Positive,"Action,FPS,Military,First-Person"
Kingsgrave,49350.0,Mostly Positive,"Adventure,Action,Action-Adventure,Puzzle,Building,2D,Dark,RPG,Exploration,Metroidvania,Dark Fantasy,Action RPG,Fantasy,Isometric,Medieval,Magic,Singleplayer,Open World,Pixel Graphics,Top-Down"
Ghosts of Tabor - Taran Tactical JW3,59850.0,Very Positive,"Action,Shooter,VR,Looter Shooter,Exploration,Immersive Sim,Atmospheric,Dystopian ,Military,Character Customization,Combat,Inventory Management,Crafting,Physics,PvE,PvP,Trading,Multiplayer,Tutorial,Online Co-Op"
Strife: Veteran Edition,129870.0,Very Positive,"RPG,Action,FPS,Classic,Retro,1990's,Boomer Shooter,Sci-fi,Shooter,First-Person,Singleplayer,Immersive Sim,Multiplayer,Action RPG,Old School,Open World,Story Rich,Cult Classic,Adventure,Atmospheric"
REAL WEB LEGENDS: Carter's Quest,104850.0,Very Positive,"RPG,Spectacle fighter,Action-Adventure,Action,Hack and Slash,3D,1990's,Open World,Story Rich,Stylized,Early Access,Fantasy,Indie,Magic,Medieval,Combat,Singleplayer"
Touhou Bunkachou ～ Shoot the Bullet.,88350.0,Very Positive,"Action,Shoot 'Em Up,Shooter,2D,Score Attack,Singleplayer,Indie,Bullet Hell,Faith,Difficult,Anime,Female Protagonist,Great Soundtrack"
Sacred Gold,112410.0,Very Positive,"RPG,Open World,Hack and Slash,Action,Classic,Fantasy,Action RPG,Singleplayer,Isometric,Adventure,Co-op,Multiplayer,Loot,Story Rich,Atmospheric,Dwarf,Nostalgia,Female Protagonist,Exploration,Dark Fantasy"
BUTCHER,71370.0,Very Positive,"Action,Gore,Indie,Pixel Graphics,2D,Violent,Difficult,Shooter,Platformer,Dark,Adventure,Retro,Great Soundtrack,Villain Protagonist,Singleplayer,Controller,Arcade,Action-Adventure,Metroidvania,Horror"
Fireboy & Watergirl: Fairy Tales,13500.0,Very Positive,"Action,Adventure,Platformer,Puzzle,2D Platformer,Puzzle Platformer,2D,Cute,Fantasy,Magic,Local Co-Op,Nature,Co-op,Female Protagonist,Physics,Singleplayer"
Song Beater: Quite My Tempo!,119850.0,Positive,"Action,Indie,Casual,Rhythm,Music,VR,Singleplayer,3D,Colorful,Cute,Mod,Family Friendly,Electronic Music,Electronic,Boxing,Relaxing,FPS,Moddable,Sports,Early Access"
LARA CROFT AND THE TEMPLE OF OSIRIS™,181870.0,Mixed,"Adventure,Action,Co-op,Local Co-Op,Multiplayer,Puzzle,Female Protagonist,Online Co-Op,Isometric,4 Player Local,Singleplayer,Top-Down,RPG,Platformer,Twin Stick Shooter,Controller,Hack and Slash,Third Person,Local Multiplayer,Co-op Campaign"
Gun Metal,24570.0,Very Positive,"Action,Mechs,Robots,Third-Person Shooter,Shooter,Sci-fi,Singleplayer"
Voodoo Vince: Remastered,194870.0,Very Positive,"Action,Adventure,3D Platformer,Great Soundtrack,Cult Classic,Classic,Comedy,Singleplayer,Funny,Remake,Platformer"
White Day: A Labyrinth Named School,136370.0,Very Positive,"Horror,Adventure,Action,Indie,Survival Horror,Sexual Content,First-Person,Puzzle,Nudity,Psychological Horror,Singleplayer,Dating Sim,Atmospheric,Anime,Mature,Multiple Endings,Female Protagonist,Remake,Multiplayer,Violent"
Sifu Deluxe Cosmetic Pack,29850.0,Mixed,"Action,Indie"
Red Faction II,14310.0,Mixed,"Action,FPS,Sci-fi,Shooter,Singleplayer,Destruction,Strategy,First-Person,Classic,Multiplayer"
Tom Clancy's Ghost Recon®,65610.0,Very Positive,"Tactical,FPS,Action,Simulation,Shooter,Classic,Singleplayer,Military,Strategy,Realistic,Multiplayer,Stealth,Co-op,First-Person,Difficult,War,Team-Based"
Tintin Reporter - Cigars of the Pharaoh,187350.0,Mixed,"Action,Adventure,Choose Your Own Adventure,Action-Adventure,3D,Investigation,Singleplayer"
DJMAX RESPECT V - NEXON PACK,260100.00000000006,Mostly Positive,"Casual,Action,Sports,Racing,Music"
killer7,129870.0,Overwhelmingly Positive,"Cult Classic,Surreal,Violent,On-Rails Shooter,Great Soundtrack,Gore,Stylized,Action,Adventure,Singleplayer,Story Rich,Horror,Anime,Blood,First-Person,Classic,Atmospheric,Shooter,FPS,Sexual Content"
Azur Lane Crosswave,194850.0,Mixed,"RPG,Action,Adventure,Anime,Sexual Content,Visual Novel,Female Protagonist,Cute,Nudity,JRPG,Singleplayer,Naval,World War II,Third-Person Shooter,Military,FPS,Shooter,Naval Combat,Mature,Hentai"
Spell Disk,104850.0,Very Positive,"Action Roguelike,Hack and Slash,Roguelite,Shoot 'Em Up,Pixel Graphics,Roguelike,Bullet Hell,Action,Dungeon Crawler,Top-Down,Arcade,Fantasy,Combat,Singleplayer,Inventory Management,2D,Perma Death,Controller,Magic,Procedural Generation"
Brazen Blaze,104850.0,Mostly Positive,"VR,Arena Shooter,Hero Shooter,FPS,Parkour,PvP,Shooter,3D Fighter,eSports,Character Customization,3D,First-Person,Team-Based,Action,Sci-fi,Destruction,Combat,Multiplayer,Online Co-Op,Fast-Paced"
art of rally: australia,63600.0,Positive,"Racing,Sports,Simulation,Action,Indie,Driving,Physics,Difficult,Top-Down,Automobile Sim,Arcade,Relaxing,Stylized,Offroad,Atmospheric,Singleplayer,Controller,Great Soundtrack,Soundtrack,Fast-Paced"
"Bloodstained: Ritual of the Night - ""Iga's Back Pack"" DLC",82350.0,Very Positive,"Adventure,Action,RPG,Metroidvania,Female Protagonist"
Zoonomaly,52350.0,Mostly Positive,"Exploration,Horror,Puzzle,Action-Adventure,Open World,First-Person,Realistic,3D,Action,Controller,Nonlinear,Fantasy,Adventure,Atmospheric,Supernatural,Singleplayer,Survival Horror,Indie,Multiplayer"
Rock 'N' Roll Defense,5850.0,Very Positive,"Tower Defense,Strategy,Casual,Action,Adventure,Great Soundtrack,Indie,Music,2D,Singleplayer,Soundtrack,Touch-Friendly,Retro,Tactical,Comedy,Difficult,Old School,GameMaker,Classic,1980s"
Serial Cleaner,90870.0,Very Positive,"Stealth,Action,Indie,2D,Gore,Blood,Singleplayer,Top-Down,Casual,Crime,Adventure,Puzzle,Great Soundtrack,Multiplayer"
Ship Graveyard Simulator 2 - Steel Giants DLC,59850.0,Mostly Positive,"Simulation,Indie,Casual,Action,Destruction,Exploration,Management,Realistic,Building,First-Person,Relaxing,Adventure,Sandbox,Inventory Management,Atmospheric,Family Friendly,Crafting,Education,Action-Adventure,Naval"
Rum & Gun,44850.0,Very Positive,"Action RPG,Pirates,Hack and Slash,Action-Adventure,Loot,Top-Down Shooter,Shooter,Indie,Adventure,Top-Down,Dungeon Crawler,Action,Funny,RPG,Fantasy,Isometric,Naval,Historical,Combat,Singleplayer"
LEGO® STAR WARS™: The Force Awakens,225420.00000000006,Very Positive,"LEGO,Adventure,Action,Co-op,Open World,Comedy,Multiplayer,Sci-fi,Funny,Local Co-Op,Space,Family Friendly,Singleplayer,Third Person,Puzzle,Female Protagonist,Story Rich,Fantasy,Controller,Survival"
Watchmen: The End is Nigh Part 2,44910.0,Mixed,"Action,Superhero,Beat 'em up,Local Co-Op,Comic Book,Third Person"
XIII - Classic,194850.0,Very Positive,"Action,FPS,Comic Book,Classic,Stealth,Violent,Gore,Cult Classic,Singleplayer,Shooter,Stylized,First-Person,Story Rich,Great Soundtrack"
IronWolf VR,260100.00000000006,Overwhelmingly Positive,"Co-op,Submarine,Simulation,Naval Combat,Open World,VR,Action,Naval,Multiplayer,Underwater,Asymmetric VR,Local Co-Op,Singleplayer,Action-Adventure,Immersive Sim,Co-op Campaign,Local Multiplayer,Online Co-Op,Wargame,3D"
A Plague Tale: Requiem - Protector Pack DLC,24000.0,Very Positive,"Action,Adventure,RPG,Gore,Violent"
STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster,106470.0,Mostly Positive,"RPG,Action,JRPG,Anime,Sci-fi,Singleplayer,Great Soundtrack,Story Rich,Space,Open World,Action RPG,Adventure"
DEAD OR SCHOOL,127350.0,Very Positive,"Female Protagonist,Anime,Action,Mature,Sexual Content,RPG,Nudity,Zombies,Side Scroller,Indie,Hack and Slash,Metroidvania,2D,JRPG,Singleplayer,Cute,Horror,Visual Novel,Difficult,Hentai"
The Vagrant,6370.0,Very Positive,"Female Protagonist,Action,2D,RPG,Metroidvania,Side Scroller,Adventure,Indie,Hack and Slash,Singleplayer,Anime,Beat 'em up,Nudity,Sexual Content,Dark Fantasy,Platformer,Great Soundtrack,Fantasy,Story Rich,Classic"
Conflict Desert Storm™,44910.0,Mostly Positive,"Action,Tactical,Third-Person Shooter,Multiplayer,Classic,Singleplayer,Military,Shooter,Strategy,Third Person"
SNK HEROINES Tag Team Frenzy,239850.0,Mostly Positive,"Fighting,Anime,Action,Female Protagonist,Cute,Sexual Content,2D Fighter,Nudity,Character Customization"
Battlefield 1 Shortcut Kit: Infantry Bundle,260100.00000000006,Mixed,"Action,Violent"
Until You Fall,172350.0,Very Positive,"VR,Swordplay,Roguelite,Hack and Slash,Arcade,Fighting,Combat,Action,Soundtrack,First-Person,Singleplayer,Fantasy,Magic,Roguelike,Action Roguelike,Indie,Adventure,Fast-Paced,Great Soundtrack,Early Access"
Turbo Dismount™,129870.0,Very Positive,"Funny,Simulation,Physics,Destruction,Singleplayer,Automobile Sim,Action,Indie,Sandbox,Comedy,Driving,Casual,Great Soundtrack,Racing,First-Person,Adventure,Family Friendly,Third Person,Moddable,Strategy"
M.A.S.S. Builder,127350.0,Very Positive,"Action RPG,Mechs,Character Customization,Robots,Indie,Gun Customization,Hack and Slash,Sci-fi,Anime,Shooter,Action,Singleplayer,RPG,Multiplayer,Futuristic,Third-Person Shooter,Combat,Third Person,Post-apocalyptic,Crowdfunded"
ACE COMBAT™7: SKIES UNKNOWN - MiG-35D Super Fulcrum Se,44850.0,Mostly Positive,"Action,Simulation,Third Person,Singleplayer,Team-Based,Local Multiplayer,Flight,Co-op"
Gimmick! Special Edition,142350.0,Very Positive,"Action,Platformer,Retro,Old School,2D Platformer,Pixel Graphics,1990's,Side Scroller,Fantasy,Puzzle Platformer,Cartoon,2D,Singleplayer,Controller"
Pine Harbor,111900.0,Mixed,"Action,Shooter,First-Person,Horror,1990's,Survival Horror,Atmospheric,Dark,Violent,RPG,Story Rich,Gore,Open World,Stealth,Indie,Linear,Early Access,FPS,Singleplayer,Survival"
The Smurfs 2 - The Prisoner of the Green Stone,149850.0,Positive,"Action,Adventure,Action-Adventure,Platformer,Puzzle Platformer,Exploration,3D Platformer,Third Person,Colorful,Cute,Funny,Relaxing,Nature,Story Rich,Co-op,Local Co-Op,Singleplayer,Multiplayer,Local Multiplayer"
STAR WARS™ - X-Wing Special Edition,129870.0,Mostly Positive,"Action,Space Sim,Simulation,Singleplayer,Space,Flight,Classic,1990's,Sci-fi"
Marlow Briggs and the Mask of Death,44910.0,Very Positive,"Action,Spectacle fighter,Hack and Slash,Adventure,Character Action Game,Singleplayer,Third Person,Funny,Platformer,Indie,Comedy,Beat 'em up"
NTBSS: Master Character Training Pack - Sasori,59850.0,Positive,"Action,Anime,Multiplayer,Character Customization,Fighting,Ninja,Co-op,PvP,Casual,Open World,Third Person,RPG,Massively Multiplayer,Team-Based,Controller,Adventure,Singleplayer,Online Co-Op,MMORPG,Strategy"
Remnant Resistance Pack,25870.0,Very Positive,Action
Dust: An Elysian Tail,134910.0,Overwhelmingly Positive,"Action,Platformer,Metroidvania,Indie,RPG,Adventure,2D,Singleplayer,Fantasy,Great Soundtrack,Beat 'em up,Hack and Slash,Exploration,Story Rich,Controller,Beautiful,Side Scroller,Anime,Action RPG,Atmospheric"
Atomic Heart - Labor & Science Weapon Skin Pack,41850.0,Very Positive,"Action,Adventure,RPG,Gore,Violent,Nudity"
Supraland Crash,101850.0,Mostly Positive,"Adventure,Indie,Action,Puzzle,Exploration,Metroidvania,Puzzle Platformer"
Indiana Jones® and the Emperor's Tomb™,77870.0,Very Positive,"Action,Adventure,Classic,Singleplayer,Third Person,Action-Adventure,Puzzle"
Beat Hazard 3,119850.0,Very Positive,"Rhythm,Music-Based Procedural Generation,Music,Roguelike,Bullet Hell,Twin Stick Shooter,Indie,Action,Exploration,Shoot 'Em Up,PvP,Roguelite,Shooter,3D,Top-Down,Open World,Casual,Colorful,Tactical,Space"
Hacker Simulator,127350.0,Mostly Positive,"Hacking,Simulation,Singleplayer,Realistic,Crime,Typing,Programming,Detective,Adventure,Cyberpunk,Atmospheric,Sandbox,First-Person,Action,Indie"
Dungeons & Dragons: Chronicles of Mystara,134910.0,Very Positive,"Beat 'em up,Arcade,Action,RPG,Online Co-Op,Local Co-Op,Dungeons & Dragons,Adventure,Side Scroller,Co-op,Classic,Fantasy,4 Player Local,Retro,2D,Dwarf,Pixel Graphics,Local Multiplayer,Singleplayer,Multiplayer"
First Class Trouble,104850.0,Mostly Positive,"Social Deduction,Funny,Survival,Difficult,Multiplayer,Dark Humor,Online Co-Op,3D,Party Game,Third Person,Casual,PvP,Co-op,Action,Retro,Space Sim,Minigames,Robots,Conspiracy,Party"
Nucleares,104850.0,Very Positive,"Simulation,Realistic,Experimental,First-Person,FPS,Singleplayer,3D,Indie,Strategy,Walking Simulator,Science,Action,Immersive Sim,Sci-fi,Artificial Intelligence,Investigation,Modern,Logic,Resource Management,Robots"
Hero Siege - Stormweaver,13350.0,Positive,"RPG,Action RPG,Pixel Graphics,Hack and Slash,Action Roguelike,Indie,Action,Adventure,Multiplayer,Co-op,2D,Local Co-Op,Roguelite,Top-Down,Bullet Hell,Roguelike,Fantasy,Controller,Difficult,Singleplayer"
NAM,51870.0,Mostly Positive,"Action,Shooter,FPS,First-Person,Classic,Retro,War,1990's"
Terror of Hemasaurus,43800.0,Very Positive,"Physics,Villain Protagonist,Destruction,Dinosaurs,Dark Humor,Comedy,Arcade,2D,Blood,Co-op,Beat 'em up,Sci-fi,Action,Adventure,Side Scroller,Local Multiplayer,Singleplayer,Dark Comedy,4 Player Local,Horror"
Like a Dragon: Infinite Wealth - Yakuza CD Collection Set,74850.0,Mostly Positive,"Action,Adventure,RPG,Gore,Violent,JRPG,Action RPG,Action-Adventure,Beat 'em up,Emotional,Comedy,Turn-Based Combat,Funny,Singleplayer,Colorful,Hack and Slash,Martial Arts,Sexual Content,Turn-Based,Story Rich"
Arma 3 Karts,25870.0,Very Positive,"Racing,Simulation,Action,Strategy,Multiplayer,Beautiful,FPS,Funny"
Minecraft Dungeons Echoing Void,52350.0,Positive,"Action,Adventure,RPG,Atmospheric,Loot,Colorful,Top-Down,Family Friendly,Arcade,Exploration,Hack and Slash,Fantasy,Dungeon Crawler,Voxel,Action-Adventure,Funny,Isometric,Action RPG,Cute"
SNK 40th ANNIVERSARY COLLECTION,157350.0,Very Positive,"Action,Arcade,Classic,Retro,Pixel Graphics,Shoot 'Em Up,2D,Platformer,Ninja,Military,Anime"
ELEX,194870.0,Mostly Positive,"RPG,Open World,Singleplayer,Post-apocalyptic,Sci-fi,Fantasy,Adventure,Action,Third Person,Gothic,Story Rich,Atmospheric,Choices Matter,Difficult,War,Futuristic,Violent,Dark Fantasy,Base Building,Third-Person Shooter"
Call of Duty League™ - Toronto Ultra Team Pack 2024,179850.0,Positive,"FPS,Multiplayer,Action,Shooter,Singleplayer,Military,First-Person,War,Modern,Tactical,Violent,Co-op,Realistic,Story Rich,Atmospheric,Mature,Online Co-Op,Gore,Third-Person Shooter,Third Person"
Blue Fire,30600.0,Very Positive,"Cute,Metroidvania,3D Platformer,Adventure,Exploration,Platformer,Fantasy,Singleplayer,Stylized,Action-Adventure,Action,Indie,3D,Third Person,Atmospheric,Hack and Slash,Surreal,Souls-like,Precision Platformer,Controller"
Thumper,106470.0,Very Positive,"Rhythm,Indie,Action,Psychedelic,Great Soundtrack,Music,Difficult,VR,Atmospheric,Singleplayer,Fast-Paced,Horror,Dark,Arcade,Psychological Horror,Lovecraftian,Racing,Dark Fantasy,Fantasy,Controller"
"BEAR, VODKA, FALL OF BERLIN! 🐻",37350.0,Very Positive,"Action,Indie,Adventure,Simulation,Violent,Memes,Psychological Horror,Third-Person Shooter,Third Person,World War II,Military,Funny,Singleplayer,War,Survival,Surreal,Alternate History,Arena Shooter,Atmospheric,Experience"
Monster Hunter: World - Pose Set: Weapon Pose (3),59850.0,Very Positive,Action
Retrowave,28350.0,Overwhelmingly Positive,"Racing,Indie,1980s,Casual,Retro,Simulation,Action,Music,Relaxing,Cyberpunk,1990's,Great Soundtrack,Arcade,Psychedelic,Singleplayer,Futuristic,Runner,Atmospheric,Surreal,Addictive"
MK1: Ermac,119850.0,Positive,"Action,Gore,Violent"
PAYDAY 2: Jiu Feng Smuggler Pack 4,37350.0,Mostly Positive,"Action,RPG,Gore,Violent"
SCUM Raymond Cruz Character Pack,134850.0,Mixed,"Action,Adventure,Massively Multiplayer,Indie,Gore,Violent"
Blood West,127350.0,Very Positive,"FPS,Western,Retro,Horror,Stealth,First-Person,RPG,Souls-like,Shooter,Immersive Sim,Action,Singleplayer,Survival Horror,Dark,Lovecraftian,Demons,Inventory Management,3D,Character Customization,Resource Management"
Tale of Immortal - Ground of No Return,37350.0,Mixed,"Adventure,Action,Indie,Simulation,RPG"
WRATH: Aeon of Ruin,127350.0,Mostly Positive,"Action,Boomer Shooter,FPS,Retro,Gore,Violent,Old School,First-Person,Horror,Shooter,Arena Shooter,1990's,Singleplayer,Early Access,Atmospheric,Dark Fantasy,Blood,Difficult,Classic,Great Soundtrack"
Ghost Janitors,57300.0,Very Positive,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Early Access,Action,Investigation,Indie,Hidden Object,Adventure,Action-Adventure,Exploration,Supernatural,PvE,First-Person,Dark,Demons,Mystery,Realistic,Artificial Intelligence"
Conan Exiles - Riders of Hyboria Pack,82350.0,Mixed,"Strategy,Action,Adventure,RPG,Massively Multiplayer,Simulation,Nudity,Violent,Gore"
PAYDAY 2: Hostile Takeover Heist,59850.0,Mostly Positive,"Action,RPG,Violent"
DOOM Eternal: The Rip and Tear Pack,74850.0,Very Positive,"Action,Gore"
Genital Jousting,51870.0,Very Positive,"Sexual Content,Nudity,Comedy,Multiplayer,NSFW,Action,Funny,Indie,Memes,Mature,Local Multiplayer,Story Rich,Cute,Co-op,Local Co-Op,Great Soundtrack,Casual,Illuminati,Violent,LGBTQ+"
Dying Light - Volkan Combat Armor Bundle,44850.0,Very Positive,"Action,RPG,Gore,Violent"
THE HOUSE OF THE DEAD: Remake,127350.0,Mixed,"Action,On-Rails Shooter,Shooter,First-Person,Horror,Zombies,3D,Arcade,Local Co-Op,1990's,Old School,Gore,Violent,Local Multiplayer,Remake,Singleplayer,Combat,Co-op,Multiple Endings"
Panzer Knights - M4 748(a),37350.0,Positive,"Action,Indie,War,Shooter,Anime,World War II,Tanks"
Frontier Hunter - DLC : Newbie Prop Pack,13500.0,Positive,"Action,Adventure,RPG,Indie,Casual,Platformer,Exploration,Anime,Female Protagonist,Souls-like,Action RPG,JRPG,Character Customization,2.5D,2D Platformer,Action-Adventure,Story Rich,Side Scroller,Metroidvania,Hack and Slash"
Dungeons of Blood and Dream,109350.0,Very Positive,"Action Roguelike,Dungeon Crawler,Roguelike,RPG,3D,First-Person,Surreal,Horror,Swordplay,Underground,Multiple Endings,Procedural Generation,Action,Dark Fantasy,Medieval,Fantasy,Atmospheric,Adventure,Dark,Singleplayer"
"MEGATON MUSASHI W: WIRED - V Navigator ""Jibanyan""",112350.0,Positive,"Action,RPG,Hack and Slash,Robots,Adventure,Online Co-Op,PvP,Action RPG,Multiplayer,Singleplayer,JRPG,3D Platformer,Third Person,3D,Co-op,Mechs"
Earn to Die 2,38870.0,Very Positive,"Action,Racing,Indie,2D,Zombies,Side Scroller,Gore,Singleplayer,Adventure"
Wanderer,194850.0,Very Positive,"Adventure,Action,Time Travel,VR,Puzzle,Arcade,Exploration,Time Manipulation,Historical,Futuristic,Post-apocalyptic,Singleplayer"
Ys: The Oath in Felghana,134910.0,Very Positive,"Action,Great Soundtrack,RPG,JRPG,Adventure,Action RPG,Difficult,Anime,Singleplayer,Fantasy,Dungeon Crawler,Hack and Slash,Top-Down,Remake,Classic"
Pacific Drive: We Have Liftoff Customization Pack,52350.0,Very Positive,"Action,Story Rich,Adventure,Simulation,Sci-fi,Survival Horror,Survival,Exploration,Crafting,Transportation,Atmospheric,Base Building,Sandbox,First-Person,Post-apocalyptic,Action-Adventure,3D,Building,Investigation,Driving"
Thief Simulator - Luxury Houses DLC,59850.0,Very Positive,"Action,Indie,Simulation,Adventure"
Chippy,104850.0,Very Positive,"Bullet Hell,Twin Stick Shooter,Shoot 'Em Up,Arena Shooter,Difficult,Top-Down Shooter,Arcade,Shooter,2D,Top-Down,Action,Score Attack,Retro,Abstract,Moddable,Colorful,Pixel Graphics,Space,Destruction,Local Co-Op"
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - The Sound Four Characters Pack,90870.0,Very Positive,"Action,Adventure,Anime"
