nama,harga,tipe_review,kata_kunci
Call of Duty®: Black Ops Cold War,260100.00000000006,Very Positive,"Action,Multiplayer,Singleplayer,FPS,Zombies,Shooter,Cold War,Military,First-Person,Co-op,Gun Customization,PvP,Online Co-Op,Tactical,Gore,Violent,PvE,War,Story Rich,Sexual Content"
Roboquest,112350.0,Overwhelmingly Positive,"FPS,Action Roguelike,Roguelite,Co-op,Online Co-Op,Shooter,Fast-Paced,Looter Shooter,Bullet Hell,Post-apocalyptic,Action,Indie,Sci-fi,Stylized,Perma Death,Multiplayer,First-Person,Colorful,Singleplayer,Roguelike"
Call of Duty®: Black Ops II,156060.00000000003,Very Positive,"Action,Multiplayer,FPS,Shooter,First-Person,Singleplayer,Co-op,War,Online Co-Op,Team-Based,Futuristic,Controller,Survival,Tactical,Great Soundtrack,Adventure,Horror,Sci-fi,Massively Multiplayer,Atmospheric"
Party Animals,202350.0,Mostly Positive,"Casual,Multiplayer,Funny,Cute,Party Game,Fighting,Action,PvP,Co-op,Party,Family Friendly,Online Co-Op,Local Multiplayer,Physics,3D Fighter,4 Player Local,Indie,Team-Based,Local Co-Op,Action-Adventure"
Mount & Blade II: Bannerlord,260100.00000000006,Very Positive,"Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access"
Five Nights at Freddy's: Into the Pit,122849.99999999999,Overwhelmingly Positive,"Horror,Pixel Graphics,Adventure,2D,Singleplayer,Exploration,Action,1980s,Multiple Endings,Point & Click,Indie,Dark,Atmospheric,Side Scroller,1990's,Action-Adventure,Survival Horror,Story Rich,Psychological Horror,Robots"
Mortal Kombat 1,260100.00000000006,Mostly Positive,"Action,Fighting,Gore,Multiplayer,Martial Arts,Blood,Violent,2D Fighter,PvP,Arcade,Story Rich,Character Customization,Singleplayer,2.5D,Atmospheric,Competitive,Mature,Horror,3D,Local Co-Op"
Left 4 Dead 2,49410.0,Overwhelmingly Positive,"Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical"
Battlefield™ 2042,260100.00000000006,Mixed,"FPS,Shooter,Military,Multiplayer,War,Action,First-Person,Singleplayer,Combat,Team-Based,PvP,Futuristic,Vehicular Combat,Modern,Destruction,Physics,Cinematic,Adventure,Hero Shooter,Casual"
CarX Street - Deluxe Cars,164850.0,Mixed,"Racing,Massively Multiplayer,Simulation,Sports,Open World,PvP,Automobile Sim,Multiplayer,Driving,Sandbox,Exploration,Third Person,Atmospheric,First-Person,Action,Arcade,3D,3D Vision,Physics,6DOF"
